year,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
1993,0.3055555555555556,0.16666666666666666,0.0,0.1111111111111111,0.05555555555555555,0.25,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994,0.23148148148148148,0.25,0.027777777777777776,0.07407407407407407,0.06481481481481481,0.19444444444444445,0.0,0.1574074074074074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995,0.15253411306042883,0.33771929824561403,0.027777777777777776,0.09161793372319688,0.13499025341130602,0.027777777777777776,0.0,0.2100389863547758,0.0,0.017543859649122806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996,0.18692564745196324,0.2980367585630744,0.027777777777777776,0.06516290726817042,0.12176274018379281,0.0992063492063492,0.0,0.15977443609022557,0.0,0.017543859649122806,0.0,0.0,0.0,0.023809523809523808,0.0,0.0,0.0,0.0,0.0
1997,0.28195488721804507,0.24686716791979949,0.0,0.10025062656641603,0.09398496240601502,0.08897243107769422,0.0,0.11152882205513785,0.017543859649122806,0.017543859649122806,0.0,0.0,0.0,0.041353383458646614,0.0,0.0,0.0,0.0,0.0
1998,0.3707061772077252,0.15914786967418545,0.0196078431372549,0.16113813946631284,0.023809523809523808,0.08897243107769422,0.0,0.05889724310776942,0.05675954592363261,0.0,0.0196078431372549,0.0,0.0,0.041353383458646614,0.0,0.0,0.0,0.0,0.0
1999,0.5029813094828576,0.10623781676413258,0.0196078431372549,0.18142032641516645,0.012345679012345678,0.023716699155295635,0.012345679012345678,0.03508771929824561,0.05675954592363261,0.0,0.02578068264342774,0.0,0.0,0.023716699155295645,0.0,0.0,0.0,0.0,0.0
2000,0.515309427074133,0.03653653653653654,0.0196078431372549,0.2184046791889929,0.02135468802135469,0.03319986653319986,0.02135468802135469,0.02702702702702703,0.0392156862745098,0.02702702702702703,0.03478969165243675,0.0,0.0,0.006172839506172839,0.0,0.0,0.0,0.0,0.0
2001,0.5388388388388389,0.05320320320320321,0.011111111111111112,0.15108441775108442,0.026910243576910242,0.04431097764431097,0.02135468802135469,0.06036036036036036,0.0,0.0548048048048048,0.020737404070737403,0.0,0.005555555555555556,0.006172839506172839,0.0,0.005555555555555556,0.0,0.0,0.0
2002,0.5119028119028118,0.049836199836199836,0.031313131313131314,0.12863772863772863,0.024665574665574664,0.04318864318864318,0.009009009009009009,0.06036036036036036,0.0,0.0952088452088452,0.014564564564564564,0.0,0.015656565656565657,0.010101010101010102,0.0,0.005555555555555556,0.0,0.0,0.0
2003,0.48665778665778664,0.050133200133200134,0.04596514596514597,0.07488067488067487,0.01931956931956932,0.052791652791652786,0.03296703296703297,0.09194139194139195,0.0036630036630036634,0.0864968364968365,0.005555555555555556,0.0,0.030308580308580312,0.010101010101010102,0.0,0.005555555555555556,0.0,0.0036630036630036634,0.0
2004,0.3732378732378732,0.046453546453546456,0.07814407814407814,0.10705960705960704,0.013764013764013766,0.09795759795759795,0.037296037296037296,0.08458208458208459,0.007992007992007992,0.08469308469308469,0.004329004329004329,0.0,0.037740037740037743,0.010101010101010102,0.0,0.0,0.008658008658008658,0.007992007992007992,0.0
2005,0.3238110204402339,0.061264578118510694,0.07666864970235757,0.11403951853390056,0.014898958719183439,0.1228696397235723,0.04853199235221708,0.09956335799032429,0.011737326344067918,0.05927031769728399,0.004329004329004329,0.0,0.027639027639027643,0.0149812734082397,0.0,0.0,0.008658008658008658,0.011737326344067918,0.0
2006,0.28133664088720267,0.06542146991585195,0.09572450021888224,0.14441363879566124,0.026217228464419474,0.11620214991001505,0.02680091444136388,0.07840848290286492,0.008074322681064254,0.0596818911425653,0.011819641033124181,0.003745318352059925,0.012987012987012986,0.04119850187265917,0.0,0.003745318352059925,0.008658008658008658,0.015564959385184103,0.0
2007,0.25373091328147507,0.06781907231345434,0.0857677902621723,0.15240564678766924,0.03390953615672717,0.11377124747911264,0.05324114088159032,0.10371650821089023,0.006309420916162489,0.04396427542494958,0.010054739268222415,0.003745318352059925,0.002564102564102564,0.04119850187265917,0.012820512820512822,0.003745318352059925,0.0,0.011235955056179775,0.0
2008,0.22059298786216228,0.04872609071436624,0.09602670574824947,0.1380146681196999,0.03173155211504015,0.1399681209524883,0.0583095336514975,0.11590914784612878,0.006187290969899666,0.03985256723410119,0.013677927674019515,0.005556912554958476,0.004375696767001115,0.028028822667318026,0.03455964325529543,0.003745318352059925,0.0036231884057971015,0.011113825109916951,0.0
2009,0.24816862194649988,0.04352533776953691,0.08477134489749943,0.14977457962927662,0.030567204440824627,0.12036826843652704,0.07643454578011911,0.11299827866058999,0.013095753836911755,0.03667001692457877,0.014822869553664778,0.0035387099196515733,0.013011275350766226,0.0018115942028985507,0.03628675897204845,0.003454231433506045,0.005350304122550124,0.005350304122550124,0.0
2010,0.26677312060214936,0.10145700541987464,0.06507825026834342,0.1445283339738238,0.044187769723794006,0.09891768151279434,0.05674800895803241,0.09411179430095984,0.013941710948853521,0.03493875585827933,0.016521341584617627,0.004391224838662656,0.012152202624685826,0.0026641091219096334,0.024318761070546716,0.0060117761905392935,0.00705533396057229,0.006202819041561207,0.0
2011,0.2256978998577658,0.14285821997968987,0.055801397692060876,0.12276591826651036,0.13367307205977255,0.06075311983476445,0.07471958229732678,0.08407584184017225,0.014603012688729086,0.026639884728291624,0.015468847266224125,0.0034365286648986386,0.012911302509190876,0.004280107035549215,0.004293426694033172,0.0060117761905392935,0.009430431758716919,0.0025796306357641053,0.0
2012,0.26745867218848635,0.15122808845318528,0.05573391575929396,0.07127087713416354,0.2195712460408481,0.05893743408125487,0.06123163098554127,0.05116152913311343,0.009322551449718624,0.012316844498515646,0.007647269496459826,0.0017094129481456156,0.005496725146426985,0.011199113954556134,0.004194312605281777,0.0025575447570332483,0.007703316041963896,0.0012595153260114898,0.0
2013,0.3025896466927704,0.1246743953462897,0.06247737010068019,0.04441972378574254,0.22104014764590674,0.058915967878258195,0.07532879315350512,0.027159247582394925,0.02150002174969348,0.009786899145335275,0.004583735668790504,0.002055938796520624,0.0061897768431770014,0.017540843639861598,0.008137960755815058,0.0035971223021582736,0.007197326971327821,0.0016060411743864982,0.0011990407673860913
2014,0.3370989015937846,0.09900768442667318,0.07876245564967826,0.05943756577052758,0.14910094315302544,0.06752517812402298,0.06765694084571378,0.02254084881504073,0.03442992910010845,0.02599554778093637,0.005142932035221021,0.002763985994303149,0.003619082755773403,0.015678196750240524,0.009554055151380109,0.009856903209826505,0.004328931221220207,0.004735931628220614,0.002763985994303149
2015,0.2708861839287848,0.11762668644816482,0.10202058679162684,0.08506170342786024,0.06736647967582336,0.0838744351371804,0.08221269399067853,0.02782847650930743,0.050782563710004475,0.03722267934001814,0.008478308814581203,0.002763985994303149,0.007930584992586844,0.01014231569568727,0.013458556981193142,0.020921910125455828,0.004328931221220207,0.004328931221220207,0.002763985994303149
2016,0.21373190735004774,0.13838546404147478,0.12950014160931114,0.10433858961122126,0.06082402133480388,0.07457725749467903,0.072417453260186,0.024563396265809917,0.05314375168270324,0.042338586614198793,0.009843370611297676,0.010966654628626461,0.011515409440720645,0.009785677928977561,0.009517094766349633,0.019034189532699263,0.008258095582039245,0.004839292163235825,0.0024196460816179126
2017,0.17445806988078771,0.17948972851721814,0.15972663948545693,0.10949801840621343,0.04314852390578532,0.07550295054185095,0.05920624154545317,0.017252167783806786,0.05378649704375846,0.029511624843575047,0.010433718252701655,0.021306471306471304,0.016723742774053977,0.009708827940155741,0.009363394788705993,0.01426250386312627,0.005872252747252747,0.0076617826617826615,0.0030868437118437117
2018,0.15741659318048207,0.21547661443494773,0.17066784809840363,0.10784168249446029,0.029283114005336227,0.07838446275946274,0.043180764708542485,0.01856699113643558,0.06358363858363858,0.02632275132275132,0.00937076041242708,0.02439289105955773,0.013248852484963597,0.008325702075702076,0.007946117668339891,0.004226303531859088,0.007929865915977026,0.010748202414869082,0.0030868437118437117
2019,0.1508406294616612,0.20441783194759386,0.1792671852691694,0.11359783110775175,0.023928151507516583,0.08591978458049886,0.040721319391954315,0.02092177920550936,0.06128117913832199,0.026095993953136814,0.014289651045603426,0.01839254220206601,0.012708123372805913,0.004209183673469388,0.013213865793230875,0.0065985344755186024,0.0062030213319895855,0.010399344923154447,0.006994047619047619
2020,0.14242982998981524,0.18679894405254316,0.1720809364404787,0.13319197243154424,0.021558912219672644,0.0768754132541508,0.03388779438982466,0.034795139372474186,0.06429463854713023,0.03087706559467357,0.018917653856745775,0.019010141656874768,0.01405912218020007,0.004509997201027102,0.01441179577023062,0.006303045081191999,0.0060552766348262845,0.008024781502079399,0.011917539824516566
2021,0.13021907643115638,0.15208937109160411,0.1743915348348658,0.15430780593353438,0.030194141255630278,0.0660982426409146,0.029199134874207038,0.04295812932052789,0.04744582251798634,0.04043990712472822,0.027974524935474778,0.028067012735603775,0.019287483510565043,0.008152984450571728,0.013332392140735916,0.008310061204783715,0.007640650715646631,0.00615269083217452,0.013739033449288882
2022,0.10989277972336152,0.14911293696494485,0.19815817616188372,0.17981313700579138,0.03459154491623492,0.043126876444006035,0.01913929431907381,0.04980178368771889,0.04039555255326693,0.037196432084282235,0.03099773995214047,0.03708208008059335,0.020531075503236036,0.00829722552809156,0.009120162836406733,0.009959087577510456,0.005194400009060271,0.005747256452118773,0.011842458200278102
2023,0.10491072593566839,0.1485352372899933,0.20868628034300452,0.18564099352299834,0.04204831916326115,0.0369622287983883,0.01886994326751948,0.0460801352811311,0.029287425430973735,0.039694469235546787,0.03397424856864004,0.03683957808153403,0.02095761504376282,0.009762475143657913,0.0074190635748247686,0.013149722600612734,0.006897145630763931,0.0032541583812193053,0.007030234706499442
